,Tweet,Label
63,"Over the weekend, 30 local coaches received a wide variety of presentations, including one on how to use the FIFA Football for Schools App. 

Now adapted for Thai, the application is a tool which includes hundreds of hours of video tutorials of football sessions for coaches. https://t.co/xALcR7PmoU",Sports
64,"Last weekend, Thailand 🇹🇭 became the 32nd FIFA member association — and ninth in Asia — to launch the FIFA Football for Schools programme. 

But what did the launch actually entail? ⬇️

#InternationalDayofEducation https://t.co/cYnT8LdXsA",Sports
65,"Making a difference to young lives around the globe ⚽️

#DidYouKnow... between 2019 and 2022, FIFA distributed 632,830 footballs to schools around the world through its Football for Schools Programme 🙌

#InternationalDayofEducation https://t.co/ayKyYdQUAv",Sports
66,"Millions of children around the world do not have the opportunity to play football, and FIFA wants to change that. 

On International Day of Education, find out more about FIFA's flagship education programme — Football for Schools 📚⚽️

#InternationalDayofEducation @UNESCO https://t.co/5B4cfgR4Rg",Sports
67,"The next stop for FIFA Football for Schools: Thailand! 🇹🇭

Pathumthani, a central province north of Bangkok, hosted the launch of the programme last weekend, involving 30 local coaches and 100 youngsters:",Sports
68,"@SaoPauloFC Feliz aniversário, @rogerioceni! 🎉 https://t.co/svpy6k3eXe",Sports
69,"Congratulations to Rebecca Welch, who took charge of @BCFC against @pnefc this afternoon, becoming the first woman to be appointed to officiate a game in England's second tier! 👏

Earlier this month, Welch was named as one of the officials for this year's @FIFAWWC. https://t.co/gp9BQxUu1I",Sports
70,"Cambodia 🇰🇭 is the eighth Asian member association to implement the FIFA Football for Schools Programme. 

Find out where it is already up and running around the world, and the impact the programme has had on young lives: https://t.co/D2VzLkMpwf https://t.co/cSivUUiccE",Sports
71,"FIFA Football for Schools is up and running in Cambodia! 🇰🇭

The programme, which aims to make the game more accessible for young children by bringing football-based activities into the educational system, was officially launched in Siem Reap this week 🙌",Sports
72,"Don’t forget, you have until 3 February to vote for your favourite strike of 2022 ahead of this year’s #TheBest Awards: https://t.co/eeTzcLcfz5 https://t.co/hxCuKw0pqT",Sports
73,"An early contender for the 2023 Puskás Award from @Palmeiras' Raphael Veiga! 😱

https://t.co/wUR2xHR7qP",Sports
74,"🇵🇰🇸🇦🇲🇺🇰🇲

@TheRealPFF’s women’s team have continued their return to international football, joining @saff_wfd, Mauritius and Comoros for a four-team tournament to start the year.

Congratulations to Saudi Arabia, who were the eventual winners! 👏",Sports
75,@FIFAWWC Easy: 🔟! 🙌,Sports
76,"Remembering a true @CBF_Futebol legend 🇧🇷

It's been 40 years since two-time @FIFAWorldCup winner Garrincha sadly passed away.

Forever in our hearts ❤️ https://t.co/DwG1SDNa8h",Sports
77,"Implementing a philosophy for the future of women’s football in Thailand! 🙌

Find out how FIFA’s Coach Education Scholarship is helping play a role in increasing the number of female coaches in the country:",Sports
78,"One month on from #Qatar2022 🏆🔢

From 172 goals to 420,000 volunteer applications, we take a look back at the record-breaking numbers from the 22nd edition of the #FIFAWorldCup:",Sports
79,"The biggest ever home crowd for a Football Ferns game 🙌

12,508 fans turned up to see @NZ_Football 🇳🇿 play reigning @FIFAWWC champions @USWNT in Wellington today 🇺🇸

Just 183 days to go until FIFA Women's World Cup Australia &amp; New Zealand 2023 🔜 https://t.co/MUKfcQXLyM",Sports
80,"To mark the opening of the pitch, @AdelaideUnited footballers participated in a blind football demonstration organised by Blind Football SA, highlighting the accessibility of the 2023 tournament. https://t.co/ak20igAVh3",Sports
81,"Excitement growing for the @FIFAWWC 😍

The FIFA Unity Pitch — reflecting the unique local cultures of Australia and New Zealand — has landed in Adelaide / Tarntanya as it begins its tour of the #FIFAWWC host cities 🇦🇺🇳🇿",Sports
82,@Official_BRFC Class 👏💙,Sports
83,"@OfficialBHAFC Get well soon, Enock 💙",Sports
84,"19 days to go... #ClubWC 🏆

🇪🇸 @realmadrid
 🇧🇷 @Flamengo
 🇸🇦 @Alhilal_FC
 🇺🇸 @SoundersFC
 🇲🇦 @WACofficiel
 🇪🇬 @AlAhly
 🇳🇿  @AucklandCity_FC https://t.co/etKAPUUw6o",Sports
85,"The countdown to the #ClubWC is on! 🏆

The draw, which took place today, delivered an exciting set of fixtures for the seven clubs who will compete for the title of #ClubWC champions in Morocco from 1 to 11 February. 

More details:",Sports
86,"Voting for #TheBest FIFA Football Awards is now open! 🏆

From coaches and footballers to the fans, the awards annually honour the most outstanding achievements of the world's most popular sport. 

Voting is open until February 3 on FIFA+:",Sports
87,"Coming 🔜: The FIFA #ClubWC! 🏆

The emblem for the #ClubWC has been unveiled ahead of the official draw, which will be streamed live on FIFA+ on Friday 13 January at 12:00 CET. 

Find out more about the upcoming tournament:",Sports
88,"The beautiful game ❤️

The Malaysia fans show their respect for the Thailand players after losing to them in the @affmecup 🤝

#FootballUnitesTheWorld

https://t.co/36LrGJ3ITZ",Sports
89,"@BVB @HallerSeb Great to see you back on the pitch, @HallerSeb 💪",Sports
90,"@pzpn_pl Gratulacje, Szymon! 👏",Sports
91,"@equipedefrance Félicitations pour une fantastique carrière internationale, Hugo! 👏",Sports
92,"A pioneer for women in refereeing. 

After officiating at a record four #FIFAWWC tournaments, Kari Seitz is on a mission to help FIFA produce a new generation of top officials 🙌

#MondayMotivation @FIFAWWC",Sports
93,"@GarethBale11 Congratulations on a great career, Gareth. Wishing you the best of luck in your retirement.",Sports
94,"@FAWales Congratulations, Cheryl!",Sports
95,"33 referees
55 assistant referees
19 video match officials 

Congratulations to the match officials who have been selected for this year's #FIFAWWC 🙌

@FIFAWWC #BeyondGreatness",Sports
96,"""Football has lost one of its most beautiful and positively contagious smiles.""

FIFA President Gianni Infantino pays tribute to Gianluca Vialli, who sadly passed away today at the age of 58:",Sports
97,"We are deeply saddened to hear of the passing of Gianluca Vialli at the age of 58. 

Our thoughts and sympathies are with his family and friends at this difficult time. Rest in peace.",Sports
98,"🇨🇻 Estádio Pelé
🇨🇴 Bello Horizonte Rey Pelé

Stadiums in Cabo Verde and Colombia will be renamed in honour of Pelé. 

Find out more:",Sports
99,@PLforIndia @BhupsGill_ARef Trailblazer 🙌,Sports
100,@SerieA @OfficialASRoma @Bolognafc1909 ❤️,Sports
101,"Qualified for the last four in the 2022 SAFF Women's Championship ✅ 
Nine teams playing in the national women's league ✅

Find out how FIFA support has helped Bhutan — a South Asian nation of just 770,000 inhabitants — make further developments in their women's game:",Sports
102,"@HallerSeb Great to see you back, Seb 💪",Sports
103,@OfficialBHAFC Class 👏,Sports
104,"#FIFAWWC 🇦🇺🇳🇿 
#ClubWC 🇲🇦
#U20WC 🇮🇩
#U17WC 🇵🇪
#BeachSoccerWC 🇦🇪
#TheBest Awards 🏆

There’s so much to look forward to in 2023 🤩",Sports
105,"Providing more funding and support for football development projects worldwide than ever before 🌍

After two successful cycles of the programme, FIFA Forward 3.0 will be launched in January 2023. Find out more:",Sports
106,"Providing tools for coaching development ✅
Encouraging knowledge sharing between nations ✅

Member associations from around the world have benefitted from FIFA's technical support programmes in 2022. Find out more:",Sports
107,"From 28th to 11th... @EnMaroc are the biggest climbers in the 2022 FIFA World Rankings! 🇲🇦

As 2022 draws to a close, take a look back at some of the biggest feats in world football this year:",Sports
108,@RBetisFundacion @RealBetis ❤️,Sports
109,@RealBetis ❤️,Sports
110,"Flags at the Home of FIFA in Zurich are flying at half-mast today, as we remember the eternal king: Pelé. https://t.co/2elG8s576e",Sports
111,"Pelé, the only man to win the #FIFAWorldCup three times.

A legend of our game.

Rest in peace, the Eternal King. https://t.co/1MS3DPxPDF",Sports
112,"""For everyone who loves the beautiful game, this is the day we never wanted to come. The day we lost Pelé.""

FIFA President Gianni Infantino pays tribute to Pelé:",Sports
113,"FIFA and all of the football world is mourning the death of O Eterno Rei – the eternal king.

Rest in peace, Pelé. Our thoughts and sympathies are with your family, friends and all who had the joy of watching you play.",Sports
114,"Since hosting the #U17WWC in 2016, Jordan has seen huge growth in the development of women's football 📈

From providing financial support to assigning safeguarding officers, find out how FIFA and @JordanFA have been working together to grow all aspects of the women's game:",Sports
115,"Making football more accessible to youngsters around the world ⚽️

More than 5.3 million children have benefitted from FIFA’s Football For Schools, with 32 nations now implementing the programme. Find out more:",Sports
116,"Helping to grow the game in every corner of the globe ⚽️

From the Philippines, to Tunisia and Paraguay – nations from around the world have benefitted from FIFA Forward in 2022. Find out more about some of the key projects:",Sports
117,"Two major FIFA youth tournaments ☑️
Football development projects launched ☑️
More to come in 2023 ☑️

Reflecting on another year of development for the women’s game with those who have been involved in the events and experiences throughout 2022 🙌",Sports
118,"""I had never dared to think that those dreams might come true one day.""

@FIFAWorldCup winner @MATUIDIBlaise – who announced his retirement from football today – on the power the game has to unite people from around the world.

Congratulations on a great career, Blaise 👏",Sports
119,"How beautiful is this. ❤️

A very special surprise for a very brave young girl thanks to @ScotlandNT, @erincuthbert_ and @adidasfootball.",Sports
120,"Recognising their #FIFAWorldCup heroes 🏅

A special moment for Morocco's players who, accompanied by their mothers, were honoured with Royal Wissams!",Sports
121,The #FIFAWorldCup trophy has landed in Argentina!,Sports
122,"@VivianneMiedema @bmeado9 Wishing you a speedy recovery, Viv 🙏",Sports
123,"Only football can do this. 

Amazing scenes as @Argentina won the #FIFAWorldCup! 🇦🇷

#FootballUnitesTheWorld 

https://t.co/PXmcoggsbV",Sports
124,"There is no feeling like winning the #FIFAWorldCup. 

#MondayMotivation #Qatar2022 https://t.co/Yt9Llt1xGY",Sports
125,"A #FIFAWorldCup journey to be proud of. 

Thank you to the @equipedefrance team and fans for playing a fantastic part at #Qatar2022. https://t.co/5FVKYEaEsf",Sports
126,"Lifting the #FIFAWorldCup trophy 🏆

Congratulations, @Argentina! https://t.co/8aylL6eIEH",Sports
127,"🏆 WORLD CHAMPIONS 🏆

Argentina win the 2022 #FIFAWorldCup! 

Congratulations on an incredible tournament, @Argentina 👏 https://t.co/vasjzPbiw8",Sports
128,Remembering the #FIFAWorldCup winners we have lost since 2018 ❤️ https://t.co/vGUP8LV1Q2,Sports
129,"64 matches, 32 teams, six continents, one incredible tournament. 

Whether in Doha or elsewhere, the magic of the #FIFAWorldCup has been felt by fans all around the world ✨🌍

#FootballUnitesTheWorld https://t.co/seVSDRwbqd",Sports
130,"Helping children from different countries meet their football heroes ✨

On the eve of the #FIFAWorldCup final, a lucky group of FIFA Youth Programme participants got the chance to meet former greats of the game:",Sports
131,"70,000 visitors per day on average 👥
Every match streamed live 📺
146 music artists 🎤
162 hours of live music 🎶
The greatest football party in the world 🙌

More than 1.8 million fans have enjoyed the FIFA Fan Festival during the #FIFAWorldCup:",Sports
132,"Before every match at the #FIFAWorldCup, two fans in the accessibility seats have been invited to meet their heroes as part of the pre-match ceremony. 

For football fan Ahmed Al Bahar, the accessibility features have made #Qatar2022 an amazing experience for him:",Sports
133,"Where will the #FIFAWorldCup final be won and lost? 

Ahead of tonight's showpiece, Arsène Wenger and Jurgen Klinsmann presented the Technical Study Group's analysis of the two finalists, as well as their conclusions of the tournament as a whole:",Sports
134,"1998 🥉 
2018 🥈 
2022 🥉

Six #FIFAWorldCup appearances and three medals for @HNS_CFF 👏

A nation with a population of just under four million people 🇭🇷 https://t.co/RdZsXGKapq",Sports
135,@kotahuit Hi. We loved your pictures / videos showcasing your FIFA World Cup Qatar 2022 experience. Would you please be able to send us a message?,Sports
136,"Special team, special tournament.
 
Thank you for being an incredible part of #Qatar2022, @EnMaroc 🇲🇦 https://t.co/1Xn7MVWI4L",Sports
137,"Third place at the #FIFAWorldCup! 🥉

Congratulations, @HNS_CFF 👏 https://t.co/d9ZqhKXvpQ",Sports
138,"Celebrating the unity of the passion of the game we love so much. 

#FootballUnitesTheWorld 🙌🌍 https://t.co/jfVMMLkqT0",Sports
139,"Having won the tournament with @CBF_Futebol in 2002, @KAKA reminisces on how winning the #FIFAWorldCup can bring together a nation 🇧🇷🙌

#FootballUnitesTheWorld",Sports
140,"Respect for @AchrafHakimi and @EnMaroc from @KMbappe ❤️

Can Morocco make more history by winning #FIFAWorldCup bronze? 🥉 https://t.co/U0pUpVMrdH",Sports
141,"FIFA President Gianni Infantino and FIFA Legends came together in Doha this evening to pay their respects to Siniša Mihajlović, who passed away today at the age of 53.",Sports
142,"""It's something that's really special.""

Claudio Pizarro on how football can unite the world and bring communities together ❤️

#FootballUnitesTheWorld",Sports
143,"Making a difference to the local community.

@kaka on the power of football ❤️

#FootballUnitesTheWorld https://t.co/rqnOVf7zw1",Sports
144,"Confirmed ✅

The FIFA Council has announced that Morocco will host the 2022 #ClubWC! 🏆 https://t.co/y6p0EBYovP",Sports
145,"The next two hosts of the #BeachSoccerWC have been confirmed by the FIFA Council: 

2023: Dubai 🇦🇪
2025: Seychelles 🇸🇨 https://t.co/ArUt0hLdZD",Sports
146,"Introducing... two brand new FIFA women's tournaments 🏆

FIFA Women's Club World Cup ✅
FIFA Women's Futsal World Cup ✅ https://t.co/9HzhVF7np7",Sports
147,"2011: Became a FIFA referee
2018: Refereed at first #FIFAWorldCup tournament 
2021: Took time out due to a heart illness
2022: Appointed as referee for the #FIFAWorldCup Final

What a journey for Szymon Marciniak 👏 https://t.co/SUDueP0Ayz",Sports
148,"""Being the referee in a World Cup final…it’s unbelievable, to be honest. I’m very proud of myself and my team.""

Poland's Szymon Marciniak will referee Sunday's #FIFAWorldCup final between @Argentina and @equipedefrance 👏",Sports
149,"The heart and soul of the #FIFAWorldCup ❤️🌍

Thank you to the 20,000 volunteers who helped to deliver #Qatar2022 🙌",Sports
150,"⦿ How to be an ally
⦿ How to speak to your children
⦿ How to challenge biases

We can all play our part to rid the football world – and the game we love – of all forms of discrimination. Find out how you can stand with FIFA and say #NoDiscrimination:",Sports
151,"""Football is one of the best vehicles to talk about something different."" 

Ahead of the #FIFAWorldCup final, three World Cup winners —  @KAKA, @Totti and @delpieroale —surprised patients at Sidra Medicine facility in Doha:",Sports
152,"A #FIFAWorldCup run that will go down in history.

@EnMaroc have won the hearts of the world at #Qatar2022. 

The third-place match against @HNS_CFF awaits 🥉 https://t.co/ZsTMlpE4tC",Sports
153,"Our second #FIFAWorldCup finalist is confirmed! 🇫🇷

Congratulations to @equipedefrance, who are through to their fourth @FIFAWorldCup final 👏 https://t.co/EU8AoRrxdE",Sports
154,"📍 Doha

The @EnMaroc fans are ready for their first-ever #FIFAWorldCup semi-final 🙌🇲🇦 https://t.co/Jd9058uMGV",Sports
155,"Will we see the @EnMaroc players answer this #BringTheMoves challenge in the #FIFAWorldCup semi-final against @equipedefrance? 

@WHO | #Qatar2022 https://t.co/XmRD9Ye4i0",Sports
156,"""We shouldn't forget that football is also about passion.""

@Trezegoldavid, who won the #FIFAWorldCup with @equipedefrance, on the joy football brings to people and communities around the world ❤️

#FootballUnitesTheWorld https://t.co/HYemtRzkfh",Sports
157,"Qualified for first-ever #FIFAWWC ✅
Won first-ever match at #U17WWC ✅ 
Became the first African team to reach the #FIFAWorldCup semi-finals ✅

2022 has been a year to remember for Moroccan football 🇲🇦",Sports
158,"Did you know that an active lifestyle with 60 minutes of exercise a day guarantees you a healthier life when you grow up?

That’s why you’ve got to #BringTheMoves! 

@WHO | #FIFAWorldCup",Sports
159,"Our first #FIFAWorldCup finalist!

Congratulations to @Argentina, who are through to their sixth @FIFAWorldCup Final 👏 https://t.co/yWGU1gqiIV",Sports
160,"We loved seeing @aguerosergiokun #BringTheMoves earlier in the tournament.

Will we see @Argentina #BringTheMoves in the @FIFAWorldCup semi-final against @HNS_CFF tonight?

@WHO | #FIFAWorldCup 

https://t.co/OrYZrFGjie",Sports
161,"When one German #FIFAWorldCup legend met another… 

Hubert 🤝 @j_klinsmann  https://t.co/gxOVwqfauk",Sports
162,"Will we see the @HNS_CFF players answer this #BringTheMoves challenge in the #FIFAWorldCup semi-final against @Argentina tonight?

@WHO | #FIFAWorldCup https://t.co/MOciUjato6",Sports
163,"Since the start of #Qatar2022, we've been asking you to #BringTheMoves — and you answered! 🕺

The #FIFAWorldCup semi-finals will be dedicated to the #BringTheMoves campaign, spreading the message worldwide to encourage children to live healthy lives:",Sports
164,"🌐 Making football truly global
⚽️ Growing the women's game
🤝 #FootballUnitesTheWorld 
🏆 Inside the #FIFAWorldCup 

These topics and more were on the agenda as the latest module of the FIFA Diploma in Club Management was held over six days in Doha:",Sports
165,"Celebrating the stars of the sport ⭐️

Fans in Doha will get the unique opportunity to watch some of the icons of world football at the FIFA Legends Cup later this week. 

Find out more:",Sports
166,"Imagine being able to get analysis of your own football performance straight to your pocket, straight after a match.

FIFA, in collaboration with @FIFPRO, have developed the FIFA Player App — a bespoke analytics tool that improves players' access to and use of match data:",Sports
167,"Celebrating a goal is more than a universal language, it’s a love language.

#BringTheMoves and be active, so you can stay healthy for life. 

@WHO | #FIFAWorldCup",Sports
168,"As we head in to the final week of the #FIFAWorldCup, another big event in the calendar is just around the corner!

🔜 #TheBest FIFA Football Awards 2022 https://t.co/TQPsxRKO8B",Sports
169,"The varied playing styles of the #FIFAWorldCup semi-finalists, goalkeepers saving more penalties and the performances of Asian and African nations in the tournament were all discussed by FIFA’s Technical Study Group at their latest press conference.

Find out more here:",Sports
170,"Want to stay active but need help?

We’ve got your back! Download our app GenMove now, and don’t forget to #BringTheMoves when you celebrate.

@WHO | #FIFAWorldCup",Sports
171,"Did you know that 80% of children are not getting enough exercise? 

That's why we partnered with @WHO to encourage kids to get active and start celebrating. 

Kids, create your celebrations! 
Players, answer the challenge and #BringTheMoves! 

https://t.co/oRmu142p88",Sports
172,"A once-in-a-lifetime opportunity to play with FIFA Legends ✨

Last night, 24 workers integral to the delivery of #Qatar2022 were given the opportunity to play against, and alongside, some of the most iconic names in global football at Al Thumama Stadium.",Sports
173,"Marking Universal Health Coverage Day with #BringTheMoves! 🕺

The Mad Stuntman and @SherrieSilver performed at the FIFA Fan Festival this evening, celebrating the campaign to encourage young people around the world to get more physical exercise. 

@WHO | #FIFAWorldCup",Sports
174,"Having seen the impact reaching the @FIFAWorldCup with Honduras in 2010 had on his home country, David Suazo knows all about how football can unite people! 🙌

#FootballUnitesTheWorld",Sports
175,"All participating players at this year's #FIFAWorldCup were tested for doping at least once in the year leading up to the tournament.

FIFA has implemented a comprehensive anti-doping testing programme for #Qatar2022. Find out more:",Sports
176,"Just over seven months to go until #FIFAWWC 2023! 🏆🇦🇺🇳🇿

As #Qatar2022 comes to its final stages, FIFA's Chief Women's Football Officer @SarBareman looks ahead to the next senior FIFA tournament on the horizon: https://t.co/PyTOJvG5Vm",Sports
177,"Football is joy ❤️

Children from the Ekoftau village on the South Pacific island nation of Vanuatu were invited to the French embassy to watch @equipedefrance in the #FIFAWorldCup 🇫🇷

#FootballUnitesTheWorld 

https://t.co/xB298qlx9Z",Sports
178,"There is only one way to always #BringTheMoves. 

It’s the best excuse to be active and keep celebrating. Download Gen Move! now and don’t miss out on all the action! 

@WHO | #FIFAWorldCup",Sports
179,"""It enables them to focus on being part of the greatest tournament on the planet.""

Former @England international @jjenas8 has praised FIFA’s move to introduce a service to protect teams and players from online abuse during the #FIFAWorldCup:",Sports
180,"No player should suffer discriminatory abuse when playing on the world's biggest stage.

During the quarter-final matches of the #FIFAWorldCup, players, legends and teams stood together to say #NoDiscrimination.",Sports
181,"🇭🇷🇫🇷 (@UEFA)
🇲🇦 (@CAF_Online)
🇦🇷 (@CONMEBOL) 

For the first time since 2002, three confederations are represented in the #FIFAWorldCup semi-finals. https://t.co/lA2kzHLIeQ",Sports
